A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Congrats to my lovely partner @BrittanyCurran and some other people.  Well deserved across the board.  (Honorable mention to @christinastrain because we just watched Black Panther together) https://t.co/i1lHOL1C2J,31,78.03,90.14,8.87,99.00,10.33,38.71,67.74,35.48,9.68,6.45,3.23,3.23,0.00,0.00,0.00,3.23,3.23,9.68,0.00,6.45,6.45,0.00,3.23,0.00,0.00,0.00,0.00,3.23,9.68,9.68,0.00,0.00,0.00,0.00,16.13,0.00,3.23,0.00,0.00,9.68,0.00,3.23,0.00,3.23,0.00,3.23,6.45,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,9.68,3.23,3.23,0.00,0.00,3.23,0.00,0.00,6.45,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,0.00,3.23,0.00,3.23,0.00,29.03,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,12.90
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason @EsmieCruz @brettany1024 Gemini/Black Panther
Part 2
Happy #ALDUB137thWeeksary 
@KATHA_ADN 
@likha2017 
@teamalaya1 
@Obra_ADN2018 
@ALDUB_Artist 
@Sakitan_Squad 
@ALDUBGROUFIES 
@lafamiliaaldub 
@ALDUBVISAYAS 
@AldubMDEast 
@OFCALDubKoTo 
@thebarakogirl https://t.co/9Q5hKfer60",77,92.84,60.26,1.00,49.97,77.00,58.44,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,5.19,1.30,1.30,1.30,0.00,0.00,0.00,0.00,2.60,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.60,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,2.60,0.00,0.00,0.00,0.00,1.30,0.00,1.30,0.00,0.00,0.00,89.61,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.31
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason Gemini/Black panther
Part1
Happy #ALDUB137thWeeksary 
@EsmieCruz 
@brettany1024 
@winceleste71 
@MC_Bangs 
@kengayi625 
@lloydlexie_love 
@Buenomely27 
@aizzgiant 
@mhellopez19 
@zenkmm 
@anne0485 
@fejosede2 
@ellina_gen 
@fleurs7754 https://t.co/GaeyePofVK",73,92.84,55.44,1.00,76.42,73.00,61.64,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,2.74,0.00,2.74,2.74,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,1.37,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,1.37,0.00,0.00,0.00,93.15,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.78
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason Gemini/Black panther
Part1
Happy #ALDUB137thWeeksary 
@EsmieCruz 
@brettany1024 
@winceleste71 
@MC_Bangs 
@kengayi625 
@lloydlexie_love 
@Buenomely27 
@aizzgiant 
@mhellopez19 
@zenkmm 
@anne0485 
@fejosede2 
@ellina_gen 
@fleurs7754 https://t.co/GaeyePofVK",73,92.84,55.44,1.00,76.42,73.00,61.64,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,2.74,0.00,2.74,2.74,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,1.37,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,1.37,0.00,0.00,0.00,93.15,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.78
"@ADMC_Arabia @aldenrichards02 @mainedcm @ofctrendsetter @jaysondmx @MaidenGraffix @ALDUBNation @Suzette37959800 @amypot25 @aicraglime @BorjeOyam @rcruz75 @bismonte_shela @danielleketh123 @maineden1427 @_elmer_cruz_2 @sherriemvl16 @IslaBarbaraisa @maia_romiyah @buceJCB @myrnalove20 @ederlina_faller @myfamily1229 @Bhengdalida1 @chie_chie26 @ChonaFebe @betchieflores @LiesesMarryHK @MeilinLozano @nhaids12 @alduBarkads_716 @NoraNoracampos @MarleneSalsona @eiv07 @neiltann @Aldub_Jason Gemini/Black panther
Part1
Happy #ALDUB137thWeeksary 
@EsmieCruz 
@brettany1024 
@winceleste71 
@MC_Bangs 
@kengayi625 
@lloydlexie_love 
@Buenomely27 
@aizzgiant 
@mhellopez19 
@zenkmm 
@anne0485 
@fejosede2 
@ellina_gen 
@fleurs7754 https://t.co/GaeyePofVK",73,92.84,55.44,1.00,76.42,73.00,61.64,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,2.74,0.00,2.74,2.74,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,1.37,0.00,0.00,0.00,0.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,1.37,0.00,0.00,0.00,93.15,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.78
